,_id,clusterID,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,sessionID,siteID,spaceID,stationID,timezone,userID
0,5cd1d47af9af8b68f0e96713,0102,"Mon, 25 Mar 2019 16:24:42 GMT","Tue, 26 Mar 2019 01:32:12 GMT","Mon, 25 Mar 2019 17:32:48 GMT",6.146,19_102_260_1633_2019-03-25 16:24:42.408146,0019,02,19-102-260-1633,America/Los_Angeles,
1,5cd1d47af9af8b68f0e96714,0102,"Mon, 25 Mar 2019 17:19:27 GMT","Tue, 26 Mar 2019 00:38:50 GMT","Mon, 25 Mar 2019 18:00:49 GMT",3.658,19_102_260_1634_2019-03-25 17:19:26.896309,0019,03,19-102-260-1634,America/Los_Angeles,
2,5cd1d47af9af8b68f0e96715,0102,"Mon, 25 Mar 2019 21:27:32 GMT","Tue, 26 Mar 2019 03:32:03 GMT","Tue, 26 Mar 2019 02:10:40 GMT",28.33,19_102_260_1640_2019-03-25 21:27:32.338192,0019,08,19-102-260-1640,America/Los_Angeles,
3,5cd1d47df9af8b68f0e96716,0102,"Tue, 26 Mar 2019 18:33:56 GMT","Wed, 27 Mar 2019 00:45:33 GMT","Tue, 26 Mar 2019 22:30:58 GMT",12.978,19_102_260_1640_2019-03-26 18:33:56.204855,0019,08,19-102-260-1640,America/Los_Angeles,
4,5cd1d47ef9af8b68f0e96717,0102,"Wed, 27 Mar 2019 18:28:01 GMT","Thu, 28 Mar 2019 00:37:47 GMT","Wed, 27 Mar 2019 21:44:03 GMT",10.688,19_102_260_1640_2019-03-27 18:28:00.642220,0019,08,19-102-260-1640,America/Los_Angeles,
5,5cd1d47ef9af8b68f0e96718,0102,"Thu, 28 Mar 2019 00:32:33 GMT","Thu, 28 Mar 2019 03:26:12 GMT","Thu, 28 Mar 2019 03:23:22 GMT",17.591,19_102_260_1635_2019-03-28 00:32:32.796410,0019,01,19-102-260-1635,America/Los_Angeles,
6,5cd1d481f9af8b68f0e96719,0102,"Fri, 29 Mar 2019 16:30:38 GMT","Fri, 29 Mar 2019 20:03:10 GMT","Fri, 29 Mar 2019 20:03:06 GMT",22.407,19_102_260_1634_2019-03-29 16:30:37.914117,0019,03,19-102-260-1634,America/Los_Angeles,
7,5cd1d481f9af8b68f0e9671a,0102,"Fri, 29 Mar 2019 18:26:24 GMT","Sat, 30 Mar 2019 00:08:16 GMT","Fri, 29 Mar 2019 23:07:46 GMT",15.762,19_102_260_1636_2019-03-29 18:26:24.250355,0019,06,19-102-260-1636,America/Los_Angeles,
8,5cd1d481f9af8b68f0e9671b,0102,"Fri, 29 Mar 2019 20:21:24 GMT","Sat, 30 Mar 2019 03:12:29 GMT","Fri, 29 Mar 2019 23:45:47 GMT",21.026,19_102_260_1640_2019-03-29 20:21:24.158802,0019,08,19-102-260-1640,America/Los_Angeles,
9,5cd1d481f9af8b68f0e9671c,0102,"Fri, 29 Mar 2019 20:49:21 GMT","Sat, 30 Mar 2019 00:56:22 GMT","Fri, 29 Mar 2019 22:00:16 GMT",7.328,19_102_260_1634_2019-03-29 20:49:20.589006,0019,03,19-102-260-1634,America/Los_Angeles,
10,5cd1d486f9af8b68f0e9671d,0102,"Mon, 01 Apr 2019 16:27:58 GMT","Mon, 01 Apr 2019 19:44:01 GMT","Mon, 01 Apr 2019 17:38:02 GMT",6.307,19_102_260_1633_2019-04-01 16:27:57.666139,0019,02,19-102-260-1633,America/Los_Angeles,
