YEAR,MO,DY,HR,T2M,T2MDEW,QV2M,PRECTOTCORR,WS2M
2017,12,31,16,12.93,10.55,8.06,0.03,0.69
2017,12,31,17,11.83,10.45,8,0.04,0.71
2017,12,31,18,11.34,10.46,8,0.03,0.57
2017,12,31,19,11.01,10.42,7.93,0.02,0.66
2017,12,31,20,10.29,10.35,7.87,0.01,0.9
2017,12,31,21,9.8,10.28,7.87,0.02,1.1
2017,12,31,22,9.55,10.15,7.75,0.03,1.11
2017,12,31,23,9.66,10,7.69,0.04,0.96
2018,1,1,0,9.58,9.81,7.63,0.04,0.88
2018,1,1,1,9.37,9.6,7.51,0.03,0.89
2018,1,1,2,8.88,9.3,7.32,0.04,1.07
2018,1,1,3,8.31,8.94,7.2,0.04,1.22
2018,1,1,4,8.08,8.63,7.02,0.04,1.19
2018,1,1,5,7.98,8.36,6.9,0.03,1.09
2018,1,1,6,7.73,8.04,6.71,0.02,1.08
2018,1,1,7,7.31,7.68,6.59,0.02,1.12
2018,1,1,8,8.67,8.26,6.84,0.01,0.94
2018,1,1,9,10.31,9.08,7.2,0.01,1.02
2018,1,1,10,12.62,9.33,7.32,0,0.95
2018,1,1,11,15.35,8.55,6.96,0,0.56
2018,1,1,12,17.29,7.5,6.53,0,0.19
2018,1,1,13,18.13,6.98,6.29,0,0.26
2018,1,1,14,18.07,6.98,6.29,0,0.36
2018,1,1,15,17.02,8.77,7.14,0,0.47
2018,1,1,16,15.15,8.2,6.84,0,0.7
2018,1,1,17,13.6,7.78,6.65,0,0.84
2018,1,1,18,12.57,7.94,6.71,0,0.83
2018,1,1,19,12.23,7.88,6.71,0,0.68
2018,1,1,20,12.17,7.69,6.59,0,0.64
2018,1,1,21,12.07,7.6,6.59,0,0.66
2018,1,1,22,11.96,7.51,6.53,0,0.69
2018,1,1,23,11.66,7.45,6.47,0,0.77
2018,1,2,0,11.36,7.55,6.53,0,0.83
2018,1,2,1,11.38,7.51,6.53,0,0.68
2018,1,2,2,11.05,7.4,6.47,0,0.85
2018,1,2,3,10.29,7.26,6.41,0,1.02
2018,1,2,4,9.58,7.03,6.29,0,1.09
2018,1,2,5,9.08,6.75,6.16,0,1.15
2018,1,2,6,9.05,6.58,6.1,0,1.1
2018,1,2,7,9.3,6.58,6.1,0,0.99
2018,1,2,8,11.3,7.83,6.65,0,0.52
2018,1,2,9,13.88,7.18,6.35,0,0.47
2018,1,2,10,16.27,7.24,6.41,0,0.16
2018,1,2,11,18.53,6.86,6.23,0,0.04
2018,1,2,12,19.76,6.17,5.98,0,0.18
2018,1,2,13,20.08,6.03,5.92,0,0.19
2018,1,2,14,19.69,6.86,6.29,0,0.28
2018,1,2,15,18.38,9.05,7.32,0,0.24
2018,1,2,16,16.5,8.59,7.08,0,0.6
2018,1,2,17,14.49,8.44,6.96,0,0.77
